Quantity,Name,Sets,Conditions,Languages,Finishes,Paused,Tags,Limit,Offer,Scryfall ID,Cardsphere ID,Reason
99,Carrion Feeder,MH1,NM,EN,N,P,,2.26,200,0a19da90-880e-4eca-8cf7-6d7baf090d53,59840,pauper relevant
99,Seething Song,PLST,NM,EN,N,P,,6.79,200,ce8376c8-fb4f-4b89-abb5-43eb243cfee3,74160,pauper relevant
99,Rotten Reunion,DBL,NM,EN,F,P,,1.32,200,b13cc06c-5f5e-4feb-8a44-a468d6e6c07d,84195,pauper relevant
99,Snow-Covered Plains,MB2,NM,EN,N,P,,1.32,200,8f6a631b-e3e7-4647-825e-c0b6aeff76df,127281,pauper relevant
99,Pestilence,CEI,NM,EN,N,P,,3.33,200,b23845b8-d6d8-43fa-80fc-7c4773e1eebe,21096,pauper relevant
99,Deep Analysis,F07,NM,EN,F,P,,9.88,200,221921d9-34d8-420a-be5e-6b4468e703fa,17355,pauper relevant
99,Timberwatch Elf,LGN,NM,EN,F,P,,11.85,200,045ae4ec-07f2-4098-a2d9-4bfcbd0273b2,24473,pauper relevant
99,Timberwatch Elf,LGN,NM,EN,N,P,,1.20,200,045ae4ec-07f2-4098-a2d9-4bfcbd0273b2,24474,pauper relevant
99,Vampire's Kiss,DBL,NM,EN,F,P,,3.21,200,02f210ed-b40b-44c8-9424-fbefb31e9c3c,84428,pauper relevant
99,Vampire's Kiss,DBL,NM,EN,N,P,,0.56,200,02f210ed-b40b-44c8-9424-fbefb31e9c3c,83946,pauper relevant
99,Dark Ritual,40K,NM,EN,N,P,,3.20,200,a5dc69ff-b3d4-420e-858c-4880d852c415,93569,pauper relevant
99,Temur Battle Rage,CMR,NM,EN,F,P,,1.32,200,5796d5e7-78b9-419a-a04a-fa3232bd2906,72737,pauper relevant
99,Temur Battle Rage,CMR,NM,EN,N,P,,0.68,200,5796d5e7-78b9-419a-a04a-fa3232bd2906,72827,pauper relevant
99,Lightning Bolt,2X2,NM,EN,F,P,,1.10,200,c8c8390f-4072-454f-8dc4-174919187a47,90753,pauper relevant
99,Lightning Bolt,2X2,NM,EN,N,P,,1.01,200,c8c8390f-4072-454f-8dc4-174919187a47,90742,pauper relevant
99,Llanowar Elves,CED,NM,EN,N,P,,12.57,200,681415ad-2b23-403d-aa34-e9366e91e491,9047,pauper relevant
99,Thraben Inspector,PRCQ,NM,EN,F,P,,2.69,200,e8233004-6d69-44a7-bf21-f13a5e146a1f,94751,pauper relevant
99,Brainstorm,SLD,NM,EN,N,P,,22.82,200,5ccab9c0-d19a-4cbf-8a61-e205fc3ff023,142284,pauper relevant
99,Lightning Bolt,SLD,NM,EN,F,P,,2.00,200,54199d7c-02f8-4ff0-9e43-e7bf66ef9715,120841,pauper relevant
99,Manamorphose,SLD,NM,EN,N,P,,2.76,200,d96ce5e6-70a0-47d7-ac1c-2019a8c77b45,131660,pauper relevant
99,Lightning Bolt,SLD,NM,EN,F,P,,6.92,200,0277c0b1-da97-49c1-a539-7fbaa1f77419,113785,pauper relevant
99,Fire // Ice,F06,NM,EN,F,P,,4.00,200,04cb4e4e-8275-4132-8f1a-84b486725400,17379,pauper relevant
